Ngày,RON95-III (đ/lít),E5 RON92-II (đ/lít),"DO 0,05S-II (đ/lít)",KO/2K (đ/lít)
22/08/2018,21.17,19.61,17.68,16.26
06/09/2018,21.47,19.91,18.06,16.55
21/09/2018,21.77,20.23,18.12,16.68
06/10/2018,22.34,20.9,18.61,17.08
22/10/2018,22.2,20.68,18.61,17.08
06/11/2018,21.06,19.6,18.54,17.08
21/11/2018,19.97,18.62,17.63,16.24
06/12/2018,18.45,17.18,16.25,15.25
21/12/2018,18.14,16.78,16,15
01/01/2019,17.6,16.27,14.9,14.18
16/01/2019,17.6,16.27,14.9,14.18
31/01/2019,17.6,16.27,14.9,14.18
15/02/2019,17.6,16.27,14.9,14.18
02/03/2019,18.54,17.21,15.86,14.88
18/03/2019,18.54,17.21,15.86,14.88
02/04/2019,20.03,18.58,17.08,15.97
17/04/2019,21.23,19.7,17.38,16.26
02/05/2019,22.19,20.68,17.69,16.62
17/05/2019,21.59,20.48,17.61,16.42
01/06/2019,21.21,20.21,17.39,16.22
17/06/2019,20.13,19.23,16.65,15.61
02/07/2019,20.51,19.65,16.94,15.93
17/07/2019,21.23,20.27,16.99,15.95
01/08/2019,20.91,19.9,17.02,15.96
16/08/2019,20.4,19.35,16.5,15.39
31/08/2019,20.23,19.22,16.33,15.32
16/09/2019,20.14,19.11,16.2,15.36
01/10/2019,21.06,19.78,16.63,15.78
16/10/2019,20.79,19.47,16.22,15.25
31/10/2019,20.44,19.25,16.05,15.13
15/11/2019,20.79,19.5,15.96,14.96
30/11/2019,21.07,19.81,15.98,14.96
16/12/2019,20.88,19.72,16.06,15.01
31/12/2019,20.99,19.88,16.59,15.58
15/01/2020,20.91,19.84,16.54,15.53
30/01/2020,20.12,19.26,16.13,15.06
14/02/2020,19.38,18.5,15.17,13.95
29/02/2020,19.12,18.34,14.78,13.67
15/03/2020,16.81,16.05,13.03,11.84
29/03/2020,12.56,11.95,11.25,9.14
13/04/2020,11.93,11.34,10.82,8.63
28/04/2020,11.63,10.94,9.94,7.96
13/05/2020,12.23,11.52,9.85,7.88
28/05/2020,13.12,12.4,10.74,8.75
12/06/2020,14.08,13.39,11.51,9.61
27/06/2020,14.97,14.25,12.11,10.03
13/07/2020,14.97,14.25,12.11,10.03
28/07/2020,14.97,14.4,12.39,10.27
12/08/2020,14.92,14.4,12.2,10.2
27/08/2020,15.11,14.4,11.96,10.12
11/09/2020,14.98,14.26,11.51,9.59
26/09/2020,14.98,14.21,11.12,9.44
12/10/2020,15.12,14.26,11.12,9.59
27/10/2020,14.94,14.1,11.21,9.71
11/11/2020,14.7,13.88,10.83,9.56
26/11/2020,15.35,14.49,11.43,10.13
11/12/2020,16,15.12,11.89,10.77
26/12/2020,16.47,15.51,12.37,11.18
11/01/2021,16.93,15.94,12.64,11.55
26/01/2021,17.27,16.3,13.04,11.9
10/02/2021,17.27,16.3,13.04,11.9
25/02/2021,18.08,17.03,13.84,12.61
12/03/2021,18.88,17.72,14.4,13.17
27/03/2021,19.04,17.85,14.24,13
12/04/2021,18.97,17.8,14.14,12.82
27/04/2021,19.16,17.98,14.32,13.25
12/05/2021,19.53,18.42,14.77,13.82
27/05/2021,19.53,18.42,14.77,13.82
11/06/2021,20.16,19.04,15.44,14.41
26/06/2021,20.91,19.76,16.11,15.05
12/07/2021,21.78,20.61,16.53,15.5
27/07/2021,21.68,20.49,16.37,15.39
11/08/2021,21.68,20.49,16.17,15.17
26/08/2021,21.13,19.89,15.66,14.76
10/09/2021,21.39,20.14,16.02,15.08
25/09/2021,21.94,20.71,16.58,15.64
11/10/2021,22.87,21.68,17.54,16.62
26/10/2021,24.33,23.11,18.71,17.63
10/11/2021,24.99,23.66,18.71,17.63
25/11/2021,23.9,22.91,18.38,17.19
10/12/2021,22.8,22.08,17.33,16.32
25/12/2021,23.29,22.55,17.57,16.51
11/01/2022,23.87,23.15,18.23,17.13
21/01/2022,24.36,23.59,18.9,17.79
11/02/2022,26.28,25.53,20.8,19.5
21/02/2022,26.28,25.53,20.8,19.5
01/03/2022,26.83,26.07,21.31,19.97
11/03/2022,29.82,28.98,25.26,23.91
21/03/2022,29.19,28.33,23.63,22.24
01/04/2022,28.15,27.3,25.08,23.76
12/04/2022,27.31,26.47,24.38,23.02
21/04/2022,27.99,27.13,25.35,23.82
04/05/2022,28.43,27.46,25.53,23.82
11/05/2022,29.98,28.95,26.65,25.16
23/05/2022,30.65,29.63,25.55,24.4
01/06/2022,31.57,30.23,26.39,25.34
13/06/2022,32.37,31.11,29.02,27.83
21/06/2022,32.87,31.3,30.01,28.78
01/07/2022,32.76,30.89,29.61,28.35
11/07/2022,29.67,27.78,26.59,26.34
21/07/2022,26.07,25.07,24.85,25.24
01/08/2022,25.6,24.62,23.9,24.53
11/08/2022,24.66,23.72,22.9,23.32
22/08/2022,24.66,23.72,23.75,24.05
05/09/2022,24.23,23.35,25.18,25.44
12/09/2022,23.21,22.23,24.18,24.41
21/09/2022,22.58,21.78,22.53,22.44
03/10/2022,21.44,20.73,22.2,21.68
11/10/2022,22,21.29,24.18,22.82
21/10/2022,22.34,21.49,24.78,23.66
01/11/2022,22.75,21.87,25.07,23.78
11/11/2022,23.86,22.71,24.98,24.74
21/11/2022,23.78,22.67,24.8,24.64
01/12/2022,22.7,21.67,23.21,23.56
12/12/2022,21.2,20.34,21.67,21.9
21/12/2022,20.7,19.97,21.6,21.83
01/01/2023,21.8,21.02,22.15,22.16
03/01/2023,22.15,21.35,22.15,22.76
11/01/2023,22.15,21.35,21.63,21.8
30/01/2023,23.14,22.32,22.52,22.57
13/02/2023,23.76,22.86,21.56,21.59
21/02/2023,23.44,22.54,20.8,20.84
01/03/2023,23.32,22.42,20.25,20.47
13/03/2023,23.81,22.8,20.5,20.71
21/03/2023,23.03,22.02,19.3,19.46
03/04/2023,23.12,22.08,19.43,19.03
11/04/2023,24.24,23.17,20.14,19.73
21/04/2023,23.63,22.68,19.39,19.48
04/05/2023,22.32,21.43,18.25,18.52
11/05/2023,21,20.13,17.65,17.97
22/05/2023,21.49,20.48,17.95,17.96
01/06/2023,22.01,20.87,17.94,17.77
12/06/2023,22.01,20.87,18.02,17.82
21/06/2023,22.01,20.87,18.17,17.95
03/07/2023,21.42,20.47,18.16,17.92
11/07/2023,21.49,20.41,18.61,18.32
21/07/2023,22.79,21.63,19.5,19.18
01/08/2023,23.96,22.79,20.61,20.27
11/08/2023,23.99,22.82,22.42,21.88
21/08/2023,24.6,23.33,22.35,22.3
05/09/2023,24.87,23.47,22.64,22.81
11/09/2023,24.87,23.47,23.05,23.18
21/09/2023,25.74,24.19,23.59,23.81
02/10/2023,24.84,23.5,23.59,23.81
11/10/2023,23.04,21.9,22.41,22.46
23/10/2023,23.51,22.36,22.48,22.75
01/11/2023,23.92,22.61,21.94,22.3
13/11/2023,23.53,22.27,20.88,21.51
23/11/2023,23.02,21.69,20.28,20.94
30/11/2023,22.99,21.79,20.19,21.11
07/12/2023,22.32,21.29,19.72,20.92
14/12/2023,21.4,20.51,19.01,19.96
21/12/2023,22.14,21.19,19.52,20.49
28/12/2023,22.14,21.18,19.78,20.45
04/01/2024,21.91,21,19.36,19.95
11/01/2024,21.93,21.04,19.7,20.33
18/01/2024,22.48,21.41,20.19,20.53
25/01/2024,23.4,22.17,20.37,20.54
01/02/2024,24.16,22.91,20.99,20.92
08/02/2024,23.26,22.12,20.7,22.58
15/02/2024,23.91,22.83,21.36,21.22
22/02/2024,23.59,22.47,20.91,20.92
29/02/2024,23.92,22.75,20.77,20.78
07/03/2024,23.55,22.51,20.47,20.6
14/03/2024,23.54,22.49,20.54,20.7
21/03/2024,24.28,23.21,21.01,21.26
28/03/2024,24.81,23.62,20.69,20.87
04/04/2024,24.8,23.91,20.98,21.01
11/04/2024,24.82,23.84,21.61,21.59
18/04/2024,25.23,24.22,21.41,21.44
25/04/2024,24.91,23.91,20.71,20.68
02/05/2024,24.95,23.91,20.6,20.54
09/05/2024,23.54,22.62,19.84,19.7
16/05/2024,23.13,22.11,19.87,19.9
23/05/2024,23.21,22.27,19.83,19.9
30/05/2024,22.51,21.75,19.74,19.93
06/06/2024,21.97,21.14,19.42,19.55
13/06/2024,22.23,21.31,19.64,19.85
20/06/2024,22.46,21.5,20.36,20.35
27/06/2024,23.01,22.01,20.68,20.61
04/07/2024,23.55,22.46,21.17,21.21
11/07/2024,23.29,22.28,20.83,21.03
18/07/2024,23.17,22.17,20.5,20.66
25/07/2024,22.88,21.9,20.19,20.32
01/08/2024,22.6,21.61,19.87,20.09
08/08/2024,21.67,20.71,19.14,19.41
15/08/2024,21.85,20.88,19.23,19.57
22/08/2024,21.31,20.42,18.77,19.14
29/08/2024,21.1,20.33,18.47,19.06
05/09/2024,20.82,19.97,18.09,18.72
12/09/2024,19.63,18.89,17.16,17.79
19/09/2024,19.76,18.94,17.04,17.55
26/09/2024,20.51,19.62,17.5,17.87
03/10/2024,19.8,18.85,17.4,17.65
10/10/2024,21.06,19.84,18.5,18.79
17/10/2024,20.96,19.73,18.32,18.62
24/10/2024,20.89,19.69,18.05,18.57
31/10/2024,20.5,19.69,18.14,18.83
07/11/2024,20.85,19.74,18.91,19.29
14/11/2024,20.6,19.45,18.57,18.98
21/11/2024,20.52,19.34,18.5,18.92
28/11/2024,20.85,19.84,18.77,19.14
05/12/2024,20.56,19.86,18.38,18.81
12/12/2024,20.59,19.86,18.25,18.56
19/12/2024,21,20.24,18.73,18.96
26/12/2024,20.54,19.81,18.63,18.7
02/01/2025,21.22,20.75,19.78,19.7
23/01/2025,21.14,20.59,20.19,20.11
30/01/2025,21.14,20.39,20.19,20.11
06/02/2025,20.92,20.44,19.05,19.41
13/02/2025,21.07,20.59,19.07,19.47
20/02/2025,21.33,20.85,19.06,19.51
27/02/2025,21.11,20.65,18.95,19.33
06/03/2025,20.4,19.96,18.33,18.57
13/03/2025,19.64,19.28,17.89,18.09
20/03/2025,20.08,19.69,17.89,18.11
27/03/2025,20.42,20.03,18.21,18.52
03/04/2025,20.91,20.37,18.47,18.73
10/04/2025,19.2,18.88,17.24,17.41
17/04/2025,18.85,18.49,17.03,17.18
24/04/2025,19.63,19.23,17.52,17.71
05/05/2025,19.58,19.15,17.35,17.56
08/05/2025,19.17,18.77,16.8,16.94
15/05/2025,19.59,19.18,17.22,17.22
22/05/2025,19.53,19.12,17.4,17.31
29/05/2025,19.56,19.19,17.13,17.1
05/06/2025,19.69,19.26,17.42,17.28
12/06/2025,19.96,19.46,17.7,17.51
19/06/2025,21.24,20.63,19.15,18.92
26/06/2025,21.5,20.91,19.7,19.41
03/07/2025,19.9,19.44,18.4,18.13
10/07/2025,20.09,19.65,18.83,18.37
17/07/2025,19.92,19.48,18.79,18.42
24/07/2025,19.7,19.27,19.12,18.62
31/07/2025,19.84,19.4,19.06,18.71
07/08/2025,20.07,19.6,18.8,18.66
14/08/2025,19.88,19.35,18.07,18.02
21/08/2025,20.09,19.46,17.9,17.81
28/08/2025,20.36,19.77,18.35,18.22
04/09/2025,20.43,19.85,18.47,18.31
11/09/2025,20.4,19.75,18.64,18.36
18/09/2025,20.6,19.98,18.7,18.54
25/09/2025,20.16,19.61,18.65,18.62
02/10/2025,20.2,19.62,19.03,19
09/10/2025,19.72,19.13,18.6,18.43
16/10/2025,19.9,19.22,18.42,18.4
23/10/2025,19.72,19.05,17.88,18.11
30/10/2025,20.48,19.76,19.2,19.27
06/11/2025,20.48,19.76,19.2,19.27
13/11/2025,20.57,19.84,19.86,19.93
20/11/2025,20.54,19.8,19.82,20.28
27/11/2025,20.54,19.8,19.82,20.28
04/12/2025,20.46,19.82,18.38,18.89
11/12/2025,20.08,19.61,18.15,18.64
18/12/2025,19.62,19.23,17.47,17.93
25/12/2025,19,18.71,17.25,17.7
01/01/2026,18.91,18.43,17.25,17.69
08/01/2026,18.56,18.23,17.06,17.55
15/01/2026,18.71,18.37,17.28,17.69
22/01/2026,18.63,18.28,17.7,17.95
29/01/2026,18.84,18.33,18.17,18.17
05/02/2026,18.88,18.43,18.45,18.39
12/02/2026,19.29,18.83,18.46,18.51
19/02/2026,19.29,18.83,18.46,18.51
26/02/2026,20.15,19.52,19.27,19.46
05/03/2026,22.34,21.44,23.03,26.6
11/03/2026,25.24,22.95,26.47,24.41
12/03/2026,25.57,22.5,27.02,26.93
13/03/2026,25.57,22.5,27.02,26.93
14/03/2026,25.57,22.5,27.02,26.93
15/03/2026,25.57,22.5,27.02,26.93
16/03/2026,25.57,22.5,27.02,26.93
17/03/2026,25.57,22.5,27.02,26.93
18/03/2026,25.57,22.5,27.02,26.93
19/03/2026,30.69,27.17,33.42,35.92
20/03/2026,30.69,27.17,33.42,35.92
21/03/2026,30.69,27.17,33.42,35.92
22/03/2026,30.69,27.17,33.42,35.92
23/03/2026,30.69,27.17,33.42,35.92
24/03/2026,33.84,30.11,39.66,40.45
25/03/2026,29.95,28.07,37.89,36.35
26/03/2026,24.33,28.07,37.89,36.35
27/03/2026,24.33,23.32,35.44,35.38
28/03/2026,24.33,23.32,35.44,35.38
29/03/2026,24.33,23.32,35.44,35.38
30/03/2026,24.33,23.32,35.44,35.38
31/03/2026,24.33,23.32,35.44,35.38
01/04/2026,24.33,23.32,35.44,35.38
02/04/2026,25.15,23.86,40.82,42.24
03/04/2026,26.97,25.42,44.78,44.12
04/04/2026,26.97,25.42,44.78,44.12
05/04/2026,26.97,25.42,44.78,44.12
06/04/2026,26.97,25.42,44.78,44.12
07/04/2026,26.97,25.42,44.78,44.12
08/04/2026,26.53,24.73,42.84,43.65
09/04/2026,23.54,22.34,32.96,37.7
10/04/2026,23.54,22.34,32.96,37.7
11/04/2026,23.54,22.34,32.96,37.7
12/04/2026,23.54,22.34,32.96,37.7
13/04/2026,23.54,22.34,32.96,37.7
14/04/2026,23.54,22.34,32.96,37.7
15/04/2026,23.54,22.34,32.96,37.7
16/04/2026,23.76,22.59,31.04,37.11
17/04/2026,23.76,22.59,31.04,37.11
18/04/2026,23.76,22.59,31.04,37.11
19/04/2026,23.76,22.59,31.04,37.11
20/04/2026,23.76,22.59,31.04,37.11
21/04/2026,23.04,21.93,27.85,35.23
22/04/2026,23.04,21.93,27.85,35.23
23/04/2026,22.88,21.83,26.69,32.1
24/04/2026,22.88,21.83,26.69,32.1
25/04/2026,22.88,21.83,26.69,32.1
26/04/2026,22.88,21.83,26.69,32.1
27/04/2026,22.88,21.83,26.69,32.1
28/04/2026,22.88,21.83,26.69,32.1
29/04/2026,23.75,22.62,28.17,31.98
30/04/2026,23.75,22.62,28.17,31.98
01/05/2026,23.75,22.62,28.17,31.98
02/05/2026,23.75,22.62,28.17,31.98
03/05/2026,23.75,22.62,28.17,31.98
04/05/2026,23.75,22.62,28.17,31.98
05/05/2026,23.75,22.62,28.17,31.98
06/05/2026,23.75,22.62,28.17,31.98
07/05/2026,24.35,23.79,27.49,30.45
08/05/2026,24.35,23.79,27.49,30.45
09/05/2026,24.35,23.79,27.49,30.45
10/05/2026,24.35,23.79,27.49,30.45
11/05/2026,24.35,23.79,27.49,30.45
12/05/2026,24.35,23.79,27.49,30.45
13/05/2026,24.35,23.79,27.49,30.45
14/05/2026,24.07,23.13,27.22,27.71
15/05/2026,24.07,23.13,27.22,27.71
16/05/2026,24.07,23.13,27.22,27.71
17/05/2026,24.07,23.13,27.22,27.71
18/05/2026,24.07,23.13,27.22,27.71
19/05/2026,24.07,23.13,27.22,27.71
20/05/2026,24.07,23.13,27.22,27.71
21/05/2026,25.54,24.34,28.76,28.36
22/05/2026,25.54,24.34,28.76,28.36
23/05/2026,25.54,24.34,28.76,28.36
